"Month","WeekOfMonth","DayOfWeek","Make","AccidentArea","DayOfWeekClaimed","MonthClaimed","WeekOfMonthClaimed","Sex","MaritalStatus","Age","Fault","PolicyType","VehicleCategory","VehiclePrice","FraudFound_P","PolicyNumber","RepNumber","Deductible","DriverRating","Days_Policy_Accident","Days_Policy_Claim","PastNumberOfClaims","AgeOfVehicle","AgeOfPolicyHolder","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","AddressChange_Claim","NumberOfCars","Year","BasePolicy","ClaimSize"
"May","3","Wednesday","Pontiac","Urban","Wednesday","May","3","Male","Single","35","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","3763","16","400","3","more than 30","more than 30","more than 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1994","Liability","17233.543164846"
"May","3","Saturday","Toyota","Rural","Monday","May","3","Male","Married","32","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","3764","5","400","1","more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1994","Collision","872.58487064853"
"Sep","1","Friday","Toyota","Urban","Monday","Sep","1","Male","Married","40","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","3766","14","400","3","more than 30","more than 30","none","more than 7","36 to 40","No","No","External","more than 5","no change","1 vehicle","1994","Collision","9395.792449763"
"Sep","1","Sunday","Accura","Rural","Thursday","Nov","1","Male","Married","51","Policy Holder","Sedan - All Perils","Sedan","30000 to 39000","0","3767","7","400","2","more than 30","more than 30","none","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle","1994","All Perils","4352.1598539651"
"Sep","4","Tuesday","Pontiac","Urban","Thursday","Sep","5","Male","Married","47","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","3768","1","400","3","more than 30","more than 30","none","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle","1994","Collision","2779.1292889975"
"Sep","4","Wednesday","Honda","Urban","Thursday","Oct","2","Male","Married","52","Third Party","Sedan - All Perils","Sedan","less than 20000","0","3769","10","400","3","more than 30","more than 30","2 to 4","7 years","41 to 50","Yes","No","External","more than 5","no change","1 vehicle","1994","All Perils","7281.23820851"
"Nov","2","Monday","Pontiac","Urban","Friday","Nov","2","Male","Single","45","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","3770","15","400","1","more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle","1994","Liability","2584.4983958631"
"Apr","1","Tuesday","Toyota","Urban","Wednesday","Apr","1","Female","Married","28","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","3771","15","400","4","more than 30","more than 30","more than 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1994","Liability","38416.435998387"
"May","3","Wednesday","Honda","Urban","Tuesday","Jun","5","Male","Married","42","Policy Holder","Sedan - Collision","Sedan","40000 to 59000","1","3773","10","400","1","more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","3 to 5","no change","3 to 4","1994","Collision","78989.111443264"
"Apr","3","Friday","Chevrolet","Urban","Friday","Apr","5","Male","Married","42","Policy Holder","Sedan - All Perils","Sedan","30000 to 39000","0","3774","14","400","4","more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle","1994","All Perils","24642.59054408"
"Jul","4","Friday","Toyota","Urban","Monday","Jul","4","Male","Single","33","Third Party","Sedan - All Perils","Sedan","20000 to 29000","0","3776","8","400","1","more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1994","All Perils","4988.0918250285"
"Jul","3","Wednesday","Honda","Urban","Friday","Jul","4","Female","Married","30","Third Party","Sedan - All Perils","Sedan","20000 to 29000","0","3777","15","400","1","more than 30","more than 30","none","4 years","31 to 35","No","No","External","none","no change","1 vehicle","1994","All Perils","5786.2556637489"
"Nov","4","Saturday","Chevrolet","Urban","Monday","Nov","4","Male","Single","32","Policy Holder","Sedan - All Perils","Sedan","more than 69000","0","3780","12","400","4","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle","1994","All Perils","77816.591104961"
"Oct","4","Friday","Pontiac","Urban","Tuesday","Oct","5","Male","Single","21","Third Party","Sedan - Collision","Sedan","30000 to 39000","0","3781","8","400","1","more than 30","more than 30","1","5 years","26 to 30","Yes","No","External","1 to 2","4 to 8 years","2 vehicles","1994","Collision","98235.435507515"
"May","4","Saturday","Honda","Urban","Thursday","May","4","Male","Single","33","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","3782","3","400","1","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle","1994","Collision","1573.5568122529"
"Aug","3","Sunday","Honda","Urban","Thursday","Aug","3","Male","Married","61","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","3783","3","700","2","more than 30","more than 30","1","more than 7","51 to 65","No","No","External","more than 5","no change","1 vehicle","1994","Collision","63282.714367704"
"Aug","2","Saturday","Honda","Urban","Tuesday","Aug","3","Male","Single","31","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","3784","2","400","3","more than 30","more than 30","none","5 years","31 to 35","No","No","External","none","no change","1 vehicle","1994","Collision","3603.7993650785"
"Sep","3","Wednesday","Pontiac","Urban","Wednesday","Sep","3","Male","Married","29","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","3785","3","400","3","more than 30","more than 30","more than 4","7 years","31 to 35","No","No","External","none","no change","1 vehicle","1994","Liability","32801.05432169"
"May","3","Wednesday","Mazda","Rural","Tuesday","Oct","1","Male","Married","67","Policy Holder","Sedan - All Perils","Sedan","30000 to 39000","1","3786","4","400","2","more than 30","more than 30","1","more than 7","over 65","No","No","External","more than 5","no change","1 vehicle","1994","All Perils","55087.398338193"
"Dec","3","Thursday","Chevrolet","Urban","Wednesday","Dec","4","Male","Single","35","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","3787","1","400","2","more than 30","more than 30","more than 4","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle","1994","Liability","79076.274675497"
"May","1","Wednesday","Pontiac","Urban","Thursday","May","2","Male","Married","50","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","3789","8","400","3","more than 30","more than 30","1","more than 7","41 to 50","No","No","External","1 to 2","no change","1 vehicle","1994","Collision","11246.016951167"
"Jun","1","Friday","Pontiac","Rural","Friday","Jun","2","Male","Single","27","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","3790","16","400","4","more than 30","more than 30","none","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1994","Collision","6750.104764713"
"Jun","1","Thursday","Chevrolet","Rural","Thursday","Jun","1","Male","Single","32","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","3791","5","400","3","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle","1994","Liability","4144.8604756352"
"May","4","Thursday","Pontiac","Rural","Friday","May","4","Male","Married","39","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","3792","4","400","1","more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle","1994","Liability","86797.184400999"
"Oct","2","Friday","Mazda","Urban","Monday","Oct","4","Female","Married","29","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","3794","16","400","3","more than 30","more than 30","1","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1994","Collision","2015.8547146478"
"Nov","1","Sunday","Chevrolet","Urban","Thursday","Nov","2","Female","Married","49","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","3795","9","400","2","more than 30","more than 30","1","7 years","41 to 50","Yes","No","External","none","no change","1 vehicle","1994","Collision","7226.7124173625"
"Oct","1","Monday","Ford","Urban","Friday","Nov","2","Male","Married","45","Third Party","Utility - All Perils","Utility","more than 69000","0","3796","11","400","4","more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","more than 5","no change","1 vehicle","1994","All Perils","93994.564094209"
"Aug","3","Monday","Mazda","Urban","Thursday","Aug","4","Male","Single","34","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","3797","14","400","4","more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1994","Liability","5441.9617787546"
"Jul","2","Friday","Toyota","Urban","Friday","Jul","2","Male","Married","58","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","3798","10","400","2","more than 30","more than 30","1","6 years","51 to 65","No","No","External","1 to 2","no change","1 vehicle","1994","Collision","2546.3956784046"
"Jul","1","Tuesday","Honda","Urban","Tuesday","Jul","1","Female","Married","37","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","3799","16","400","2","more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1994","Collision","11544.173870464"
"Jul","1","Tuesday","Pontiac","Urban","Tuesday","Jul","1","Male","Married","58","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","3800","4","400","3","more than 30","more than 30","1","more than 7","51 to 65","No","No","External","more than 5","no change","1 vehicle","1994","Collision","16275.438340011"
"May","3","Thursday","Chevrolet","Urban","Friday","May","3","Male","Single","26","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","1","3801","1","400","1","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1994","Collision","3102.5468615184"
"Jun","1","Monday","Honda","Urban","Wednesday","Oct","3","Male","Married","37","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","3803","2","400","3","more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1994","Collision","3197.1179486355"
"Apr","4","Thursday","Toyota","Urban","Thursday","May","1","Male","Single","29","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","3804","3","400","4","more than 30","more than 30","1","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1994","Collision","4669.0149892366"
"Apr","3","Wednesday","Pontiac","Urban","Monday","Apr","4","Male","Married","47","Third Party","Sedan - All Perils","Sedan","20000 to 29000","0","3805","6","400","3","more than 30","more than 30","none","more than 7","41 to 50","No","No","External","3 to 5","no change","1 vehicle","1994","All Perils","6990.3161261371"
"Apr","3","Monday","Toyota","Urban","Tuesday","Apr","3","Female","Single","29","Third Party","Sedan - All Perils","Sedan","20000 to 29000","0","3806","4","400","1","more than 30","more than 30","none","5 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle","1994","All Perils","2259.3674207907"
"Oct","2","Tuesday","Mazda","Urban","Thursday","Oct","2","Male","Married","45","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","3808","7","400","3","more than 30","more than 30","2 to 4","5 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1994","Liability","23507.060983932"
"Aug","3","Saturday","Honda","Urban","Friday","Sep","1","Male","Single","28","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","3809","3","400","3","more than 30","more than 30","2 to 4","5 years","31 to 35","No","No","External","none","no change","1 vehicle","1994","Collision","2599.2068814395"
"Aug","3","Wednesday","Mazda","Urban","Monday","Aug","4","Male","Married","53","Third Party","Sedan - Liability","Sport","60000 to 69000","0","3810","4","400","2","more than 30","more than 30","none","more than 7","41 to 50","No","No","External","none","no change","1 vehicle","1994","Liability","82211.859262064"
"Jul","2","Monday","Pontiac","Rural","Tuesday","Jul","2","Female","Single","23","Third Party","Sedan - All Perils","Sedan","20000 to 29000","0","3811","13","400","3","more than 30","more than 30","2 to 4","4 years","26 to 30","No","No","External","3 to 5","no change","1 vehicle","1994","All Perils","7613.6941829184"
"May","3","Tuesday","Mazda","Urban","Thursday","May","4","Male","Married","45","Third Party","Sedan - All Perils","Sedan","30000 to 39000","0","3812","1","400","1","more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle","1994","All Perils","54340.812032397"
"Feb","1","Tuesday","Toyota","Urban","Wednesday","Feb","1","Male","Married","45","Policy Holder","Sedan - All Perils","Sedan","20000 to 29000","0","3813","12","400","3","more than 30","more than 30","none","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1994","All Perils","4012.2831569191"
"Oct","3","Thursday","Pontiac","Urban","Thursday","Oct","3","Male","Single","32","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","3815","2","400","4","more than 30","more than 30","1","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1994","Liability","4074.4879335112"
"Oct","4","Friday","Ford","Urban","Monday","Oct","4","Male","Widow","69","Third Party","Sedan - Collision","Sedan","30000 to 39000","0","3816","10","400","4","more than 30","more than 30","2 to 4","more than 7","over 65","No","No","External","none","no change","1 vehicle","1994","Collision","23505.867214306"
"Sep","2","Wednesday","Honda","Urban","Friday","Sep","4","Male","Married","34","Policy Holder","Sedan - Liability","Sport","more than 69000","0","3818","7","400","4","more than 30","more than 30","none","7 years","31 to 35","No","No","External","none","no change","1 vehicle","1994","Liability","62194.123254273"
"Aug","2","Sunday","Honda","Rural","Monday","Aug","3","Male","Married","33","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","3819","15","400","4","more than 30","more than 30","1","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1994","Collision","27520.396520421"
"May","3","Friday","Honda","Urban","Tuesday","May","5","Male","Single","27","Third Party","Sedan - All Perils","Sedan","20000 to 29000","0","3821","2","400","4","more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1994","All Perils","3121.2578033178"
"May","3","Sunday","Pontiac","Urban","Tuesday","May","3","Male","Married","72","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","3822","9","400","3","more than 30","more than 30","none","more than 7","over 65","No","No","External","1 to 2","no change","1 vehicle","1994","Collision","1454.5281320489"
"Mar","4","Sunday","Mazda","Urban","Monday","Mar","4","Male","Married","31","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","3823","5","400","2","more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","1 year","2 vehicles","1994","Collision","6514.0609979134"
"Mar","4","Friday","Mazda","Urban","Friday","Mar","4","Female","Married","39","Policy Holder","Sedan - All Perils","Sedan","20000 to 29000","0","3825","11","400","1","more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle","1994","All Perils","6955.072963518"
"Mar","1","Friday","Pontiac","Urban","Friday","Mar","1","Male","Married","42","Policy Holder","Sedan - All Perils","Sedan","20000 to 29000","0","3826","16","500","3","more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","2 to 3 years","1 vehicle","1994","All Perils","6460.9642407042"
"Mar","1","Friday","Honda","Urban","Friday","Mar","1","Male","Divorced","39","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","3827","7","400","3","more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle","1994","Collision","5314.8013312988"
"Feb","4","Wednesday","Pontiac","Urban","Wednesday","Mar","1","Female","Married","31","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","3828","7","400","3","more than 30","more than 30","more than 4","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle","1994","Collision","32522.826824604"
"Oct","3","Tuesday","Toyota","Urban","Thursday","Oct","3","Male","Married","80","Third Party","Sedan - All Perils","Sedan","less than 20000","0","3829","15","400","1","more than 30","more than 30","2 to 4","7 years","over 65","No","No","External","none","no change","1 vehicle","1994","All Perils","2633.3086298705"
"Oct","1","Wednesday","Mazda","Urban","Thursday","Oct","1","Female","Single","27","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","3831","15","400","4","more than 30","more than 30","none","3 years","31 to 35","No","No","External","none","no change","1 vehicle","1994","Collision","2165.4501746419"
"Oct","1","Sunday","Chevrolet","Urban","Friday","Oct","2","Male","Married","45","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","3832","15","400","3","more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle","1994","Collision","10189.594470676"
"Oct","1","Tuesday","Chevrolet","Urban","Tuesday","Oct","3","Male","Married","43","Policy Holder","Utility - Liability","Utility","more than 69000","0","3833","13","400","1","more than 30","more than 30","1","more than 7","36 to 40","No","No","Internal","more than 5","no change","1 vehicle","1994","Liability","50211.569710764"
"May","4","Saturday","Pontiac","Urban","Thursday","May","4","Male","Single","66","Policy Holder","Sedan - All Perils","Sedan","20000 to 29000","1","3834","2","400","1","more than 30","more than 30","1","more than 7","over 65","No","No","External","3 to 5","no change","1 vehicle","1994","All Perils","5675.6432646692"
"Jun","5","Tuesday","Mercury","Rural","Tuesday","Jul","1","Male","Single","62","Policy Holder","Sedan - All Perils","Sedan","20000 to 29000","0","3836","15","400","3","more than 30","more than 30","none","more than 7","51 to 65","No","No","External","3 to 5","no change","1 vehicle","1994","All Perils","4977.731620394"
"Jun","2","Monday","Pontiac","Urban","Monday","Jun","2","Male","Married","39","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","3837","9","400","4","more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","none","no change","1 vehicle","1994","Collision","11856.77659193"
"Jun","2","Sunday","Toyota","Urban","Monday","Jun","2","Male","Married","27","Third Party","Sedan - All Perils","Sedan","20000 to 29000","0","3839","11","400","2","more than 30","more than 30","none","5 years","31 to 35","Yes","Yes","External","none","no change","1 vehicle","1994","All Perils","9897.3165992982"
"May","2","Thursday","Honda","Urban","Friday","May","2","Male","Married","37","Third Party","Sedan - All Perils","Sedan","more than 69000","0","3841","15","400","3","more than 30","more than 30","1","6 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1994","All Perils","85555.916235606"
"Apr","4","Friday","Mazda","Urban","Wednesday","May","3","Male","Married","44","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","3842","7","400","3","more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1994","Liability","31058.816330121"
"Apr","3","Wednesday","Mazda","Rural","Friday","May","1","Male","Single","33","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","3843","1","400","1","more than 30","more than 30","none","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1994","Collision","1799.5818044111"
"Feb","4","Friday","Toyota","Urban","Tuesday","Mar","4","Male","Married","75","Policy Holder","Sedan - All Perils","Sedan","less than 20000","0","3844","12","400","4","more than 30","more than 30","1","more than 7","over 65","No","No","External","3 to 5","4 to 8 years","2 vehicles","1994","All Perils","2844.6661959049"
"Feb","4","Sunday","Mazda","Urban","Tuesday","Mar","2","Male","Married","50","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","3845","5","700","4","more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","none","no change","1 vehicle","1994","Liability","12794.194232991"
"May","4","Saturday","Pontiac","Urban","Tuesday","May","4","Male","Married","55","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","3846","7","400","4","more than 30","more than 30","1","7 years","41 to 50","No","No","External","1 to 2","no change","1 vehicle","1994","Collision","2982.697659255"
"Oct","5","Monday","Honda","Urban","Tuesday","Oct","5","Male","Single","40","Third Party","Sedan - All Perils","Sedan","less than 20000","0","3847","8","400","2","more than 30","more than 30","none","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1994","All Perils","2948.9217807543"
"Jul","5","Monday","Mazda","Rural","Monday","Jul","5","Male","Single","30","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","3848","14","400","1","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1994","Liability","69127.721281097"
"Jul","1","Wednesday","Pontiac","Urban","Thursday","Jul","1","Female","Married","36","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","3850","12","400","3","more than 30","more than 30","more than 4","6 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1994","Liability","15240.526316841"
"Jun","5","Wednesday","Honda","Urban","Monday","Jul","2","Male","Single","33","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","3851","15","400","3","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle","1994","Liability","2432.9429983814"
"Jun","4","Monday","Mazda","Urban","Wednesday","Aug","1","Male","Single","21","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","3852","6","400","2","none","more than 30","1","5 years","26 to 30","No","No","External","none","no change","1 vehicle","1994","Collision","8673.2017785346"
"Jun","3","Wednesday","Pontiac","Urban","Friday","Jun","3","Female","Single","41","Third Party","Sedan - Collision","Sedan","30000 to 39000","0","3854","2","400","1","more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle","1994","Collision","74810.309390384"
"Jun","3","Thursday","Pontiac","Rural","Tuesday","Jun","3","Male","Married","37","Third Party","Sedan - Liability","Sport","30000 to 39000","0","3855","7","400","2","more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","3 to 5","no change","3 to 4","1994","Liability","79417.328821774"
"May","4","Saturday","Honda","Urban","Tuesday","May","4","Male","Single","0","Policy Holder","Sedan - All Perils","Sedan","more than 69000","1","3857","3","400","1","more than 30","more than 30","2 to 4","new","16 to 17","No","No","External","none","no change","1 vehicle","1994","All Perils","65937.521016438"
"Mar","3","Wednesday","Toyota","Urban","Tuesday","Mar","4","Male","Married","51","Third Party","Sedan - All Perils","Sedan","20000 to 29000","0","3858","7","400","3","more than 30","more than 30","none","7 years","41 to 50","No","No","External","none","no change","1 vehicle","1994","All Perils","8019.9766190671"
"Oct","4","Thursday","Mazda","Urban","Thursday","Mar","1","Male","Single","25","Policy Holder","Sport - Collision","Sport","more than 69000","0","3859","2","400","2","more than 30","more than 30","2 to 4","5 years","26 to 30","No","No","External","3 to 5","no change","1 vehicle","1994","Collision","77167.223246148"
"Oct","4","Tuesday","Pontiac","Urban","Wednesday","Oct","4","Female","Married","44","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","3860","10","400","1","more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle","1994","Liability","7655.3223412767"
"Aug","4","Friday","Chevrolet","Urban","Tuesday","Aug","5","Male","Married","60","Third Party","Sedan - All Perils","Sedan","30000 to 39000","0","3862","5","400","2","more than 30","more than 30","none","6 years","51 to 65","No","No","External","none","no change","1 vehicle","1994","All Perils","7584.153493424"
"Jul","3","Monday","Pontiac","Urban","Tuesday","Jul","3","Male","Married","29","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","3863","2","400","4","more than 30","more than 30","2 to 4","5 years","31 to 35","No","No","External","none","no change","1 vehicle","1994","Collision","8073.7749844918"
"Jun","4","Saturday","Pontiac","Urban","Wednesday","Jun","5","Female","Married","63","Third Party","Sedan - All Perils","Sedan","20000 to 29000","0","3864","12","400","2","more than 30","more than 30","1","more than 7","51 to 65","No","No","External","none","no change","1 vehicle","1994","All Perils","7388.0783647793"
"Jun","2","Thursday","VW","Urban","Friday","Jun","2","Male","Married","64","Policy Holder","Sedan - All Perils","Sedan","more than 69000","0","3866","11","400","4","more than 30","more than 30","2 to 4","more than 7","51 to 65","No","No","External","more than 5","no change","1 vehicle","1994","All Perils","60381.513757836"
"Apr","5","Thursday","Mazda","Urban","Thursday","May","1","Male","Married","59","Third Party","Sedan - All Perils","Sedan","less than 20000","0","3867","8","400","1","more than 30","more than 30","1","more than 7","51 to 65","No","No","External","none","no change","1 vehicle","1994","All Perils","5594.8494673646"
"Apr","4","Tuesday","VW","Urban","Monday","May","1","Male","Married","35","Policy Holder","Sedan - Liability","Sport","more than 69000","0","3869","10","400","4","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle","1994","Liability","82762.94689639"
"Apr","2","Thursday","Honda","Urban","Saturday","Apr","2","Male","Married","38","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","3872","15","400","2","more than 30","more than 30","none","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle","1994","Liability","8058.9349238843"
"Mar","5","Thursday","Pontiac","Rural","Monday","Apr","2","Male","Married","49","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","3873","14","400","3","more than 30","more than 30","none","more than 7","41 to 50","No","No","External","1 to 2","no change","1 vehicle","1994","Collision","9095.873043319"
"Mar","4","Monday","Mazda","Urban","Friday","Apr","1","Male","Married","52","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","3875","3","400","4","more than 30","more than 30","1","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle","1994","Collision","11976.791317551"
"Mar","4","Monday","Pontiac","Urban","Thursday","Jun","5","Male","Married","68","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","3876","15","700","4","more than 30","more than 30","more than 4","more than 7","over 65","No","No","External","none","no change","1 vehicle","1994","Liability","24586.076546277"
"Mar","1","Friday","Toyota","Urban","Monday","Mar","2","Male","Single","23","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","3877","3","500","2","more than 30","more than 30","2 to 4","6 years","26 to 30","No","No","External","1 to 2","2 to 3 years","1 vehicle","1994","Collision","5906.5973127683"
"Mar","1","Thursday","Pontiac","Urban","Tuesday","Mar","2","Male","Married","48","Policy Holder","Sedan - All Perils","Sedan","20000 to 29000","0","3878","12","400","2","more than 30","more than 30","none","7 years","41 to 50","No","No","External","none","no change","1 vehicle","1994","All Perils","5458.672026236"
"Aug","5","Thursday","Pontiac","Rural","Wednesday","Sep","2","Male","Single","37","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","3879","7","400","3","more than 30","more than 30","none","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle","1994","Collision","8219.9693196859"
"Apr","2","Saturday","Honda","Rural","Thursday","Apr","4","Male","Married","30","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","3880","13","400","2","more than 30","more than 30","1","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle","1994","Liability","89688.905919032"
"Mar","3","Monday","Mazda","Rural","Tuesday","May","1","Male","Single","48","Policy Holder","Sedan - Collision","Sedan","more than 69000","0","3881","13","400","2","more than 30","more than 30","none","more than 7","41 to 50","No","No","External","none","no change","1 vehicle","1994","Collision","58093.419798572"
"Mar","3","Tuesday","Pontiac","Urban","Tuesday","Mar","3","Male","Married","45","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","3882","12","400","1","more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle","1994","Collision","5876.3710852112"
"Mar","1","Sunday","Pontiac","Urban","Monday","Mar","1","Male","Married","59","Policy Holder","Sedan - All Perils","Sedan","less than 20000","0","3884","10","400","3","more than 30","more than 30","none","more than 7","51 to 65","No","No","External","none","no change","1 vehicle","1994","All Perils","3397.1052612203"
"May","4","Monday","Toyota","Urban","Tuesday","May","4","Male","Married","65","Policy Holder","Sedan - All Perils","Sedan","20000 to 29000","1","3885","15","400","2","more than 30","more than 30","1","more than 7","51 to 65","No","No","External","more than 5","no change","1 vehicle","1994","All Perils","1090.1728340669"
"Feb","3","Monday","Chevrolet","Urban","Tuesday","Feb","4","Male","Single","34","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","3886","2","400","4","more than 30","more than 30","1","6 years","31 to 35","No","No","External","more than 5","4 to 8 years","2 vehicles","1994","Liability","8895.1246197314"
"May","4","Monday","Pontiac","Urban","Wednesday","May","4","Male","Married","44","Third Party","Sedan - All Perils","Sedan","20000 to 29000","0","3889","5","400","3","8 to 15","8 to 15","none","more than 7","36 to 40","No","No","External","none","no change","1 vehicle","1994","All Perils","6880.7861723781"
"Apr","1","Saturday","Mazda","Urban","Friday","Apr","2","Male","Single","27","Policy Holder","Sedan - All Perils","Sedan","30000 to 39000","0","3891","5","400","3","more than 30","more than 30","2 to 4","5 years","31 to 35","No","No","External","none","no change","1 vehicle","1994","All Perils","17489.596102777"
